0.00878906,0.015625,0.0976562,0.0292969,0.0488281,0.404297,0.739258,1.73047,2.82129,22.3086,
0.0263672,0.00878906,0.0380859,0.0380859,0.162109,0.706055,0.426758,1.49414,22.4277,3.76172,
0.00683594,0.0566406,0.0214844,0.166992,0.207031,0.491211,1.45996,4.65234,7.74316,5.33887,
0.0146484,0.0175781,0.189453,0.124023,0.487305,0.953125,1.99512,22.0566,21.0791,15.7617,
0.00488281,0.150391,0.283203,0.548828,2.03418,1.30762,7.6377,10.5342,22.9414,22.7246,
0.143555,0.533203,1.03223,2.39355,4.06738,16.4355,20.0918,19.0605,22.3232,22.4082,
1.42383,3.36719,4.80469,14.9961,19.8408,20.8857,21.2568,22.1865,21.7637,22.6953,
1.69824,5.65332,9.19922,16.5625,20.6611,21.5625,21.7363,22.6631,22.3877,22.7158,
5.39551,14.79,18.6973,20.4502,21.1094,21.8809,22.2539,22.4307,22.2158,22.4385,
9.83887,15.8066,18.5898,20.7432,21.5977,21.7246,21.54,22.3174,22.4404,22.3203,
